County Name,State,Metro Code,OMB County Status,Total Population (civilian non-institutionalized),Total Population (Margin of Error),Disability Population (civilian non-institutionalized),Disability Population (Margin of Error),Percent with a Disability,Gender- Male Disability Rate- Percentage of males reporting a disability,Gender- Female Disability Rate- Percentage of females reporting a disability,Vision- Percentage of individuals reporting a vision difficulty,Hearing- Percentage of individuals reporting a hearing disability,Cognitive- Percentage of individuals reporting a cognitive disability,Mobility- Percentage of individuals reporting a mobility disability,Self Care- Percentage of individuals reporting a self care disability,Independent Living- Percent of individuals reporting a independent living disability,Disability Employment Rate- Percentage of individuals with a reported disability employed in the labor force,Disability Unemployment Rates- Percentage of individuals with a reported disability unemployed in the labor force,Out of the Labor Force Disability Rate- Percentage of individuals with a reported disability not in the labor force,Veteran Disability Rate- Percentage of veterans reporting a disability,Disability Poverty Rate- Percentage of individuals reporting a disability in poverty
Grant,Indiana,2,Micropolitan,67943,245,11876,620,17.5,17.7,17.3,2.5,5.3,6.7,10.6,2.9,6.6,30.6,7.6,61.8,42,29
Greene,Indiana,3,Non core,32532,105,5962,427,18.3,18.5,18.2,3.7,5.8,7.1,11.5,3.9,7.6,31.4,4,64.6,32.3,22.2
Hamilton,Indiana,1,Metropolitan,295067,260,20923,1214,7.1,6.9,7.2,1.1,2.3,2.8,3.5,1.4,3.1,40.9,6.6,52.5,19.4,10.5
Hancock,Indiana,1,Metropolitan,70706,176,9214,825,13,12.4,13.6,2.1,4.1,5.2,8.2,2.8,6,39.4,7.5,53.1,28.3,10.9
Harrison,Indiana,1,Metropolitan,39023,67,6882,602,17.6,17.5,17.7,3.1,5.2,6.6,10.1,3.7,8.4,32.7,6.4,60.9,34.4,24.2
Hendricks,Indiana,1,Metropolitan,150597,528,15481,896,10.3,10.3,10.3,1.9,3,3.8,5.8,1.8,4.6,45.8,4.1,50.1,27.6,9.8
Henry,Indiana,2,Micropolitan,45929,270,7486,384,16.3,16.3,16.3,2.8,5,6.1,9.7,3.2,7.3,29,9.5,61.4,27.4,22.4
Howard,Indiana,1,Metropolitan,81829,246,14300,720,17.5,16.8,18.1,3.2,5.5,7,9.1,2.8,6.8,33.2,7.7,59.1,33.2,23.2
Huntington,Indiana,2,Micropolitan,36376,140,5253,366,14.4,14.4,14.5,2.2,5.1,4.7,8.8,2.3,5.6,36.2,9.7,54.1,31.8,20.3
Jackson,Indiana,2,Micropolitan,42839,141,5582,422,13,12,14,2.8,4.4,4.6,7.5,2.9,6.1,34.4,4.6,61,27.8,22.2
Jasper,Indiana,1,Metropolitan,33101,115,4443,391,13.4,13.2,13.6,2.3,4.2,4.4,8.2,2.5,4.7,39.3,4.5,56.2,27.5,15.3
Jay,Indiana,3,Non core,21039,68,3394,266,16.1,17.5,14.8,2.8,4.9,6,8.1,1.9,7.9,36.9,5.6,57.5,37.5,25.1
Jefferson,Indiana,2,Micropolitan,31004,325,4697,393,15.1,15.3,15,2.7,5,5.4,8.7,4,6.6,34.5,5.6,59.8,40.7,17
Jennings,Indiana,2,Micropolitan,27859,86,4476,507,16.1,17.5,14.6,2.3,4.9,7.1,9.1,3.2,7,30.1,3.2,66.7,22.2,24.3
Johnson,Indiana,1,Metropolitan,143494,292,14606,770,10.2,9.8,10.6,1.5,2.7,3.8,5.8,2,4.8,39.7,6.4,54,26.2,12
Knox,Indiana,2,Micropolitan,37249,200,5684,489,15.3,14,16.5,3,4.6,6.1,8.6,3.1,6.3,34.2,5.1,60.7,32.7,20.1
Kosciusko,Indiana,2,Micropolitan,77233,189,10115,543,13.1,12.7,13.5,2.4,4.1,5.2,6.9,2.2,5.3,39.7,8.4,51.8,28,19.8
LaGrange,Indiana,3,Non core,37916,68,3785,374,10,9.7,10.3,1.9,3,4.2,5.9,2.3,4.8,41.2,6.4,52.4,28.9,16.3
Lake,Indiana,1,Metropolitan,488067,323,66308,1696,13.6,13.3,13.9,2.6,3.3,5.2,7.9,2.9,6.7,30.3,6.6,63,28.7,22.7
LaPorte,Indiana,1,Metropolitan,102412,421,13880,700,13.6,13.6,13.5,2.2,3.7,4.8,7.7,2.3,5.4,35.8,9,55.2,29.1,19
Lawrence,Indiana,2,Micropolitan,45141,183,7445,494,16.5,16.9,16.1,3.5,4.9,5.7,10,3.2,7.5,28.5,3.6,67.9,30,18.1
Madison,Indiana,1,Metropolitan,125139,339,22534,989,18,17.4,18.6,3.3,5.6,7.8,10.6,3.9,7.9,30.1,7.8,62.1,33.1,22.9
Marion,Indiana,1,Metropolitan,916471,588,126071,2383,13.8,13.2,14.3,2.7,3.4,6,7.9,3,6.3,34.1,8.1,57.9,29.3,26.5
Marshall,Indiana,2,Micropolitan,46483,119,6103,487,13.1,13.5,12.7,2.6,4.5,4.8,7.2,2.9,6.1,41.2,5.2,53.6,25.9,18
Martin,Indiana,3,Non core,10169,48,1423,197,14,13.5,14.5,2.3,4.2,4.6,8.9,3.2,5.1,28.9,4.9,66.2,28.1,22.2
Miami,Indiana,2,Micropolitan,34162,223,5783,415,16.9,16.6,17.2,2.8,5.7,6.7,9.5,2.8,7.4,27.5,5.7,66.8,35.9,20.6
Monroe,Indiana,1,Metropolitan,141477,160,14617,757,10.3,10,10.7,2.1,3.1,4.2,5,1.8,4.3,41.2,6.6,52.2,29.3,21.9
Montgomery,Indiana,2,Micropolitan,37643,107,5513,343,14.6,14.5,14.8,2.8,4.8,5.4,8.7,3.7,7,35.7,4.2,60.1,34.1,20.7
Morgan,Indiana,1,Metropolitan,68670,245,10281,657,15,13.9,16,2.3,4.5,5.9,8.9,2.8,6.6,37.8,6,56.2,28.4,16.3
Newton,Indiana,1,Metropolitan,13854,116,2006,265,14.5,13.2,15.7,2.3,4.6,5.1,7.6,2.4,5.7,24.9,12.7,62.4,25.4,25.1
Noble,Indiana,2,Micropolitan,46727,208,5865,504,12.6,13.4,11.7,2.4,3.9,4.5,6.5,1.9,4.7,33.7,4.9,61.4,34,16.8
Ohio,Indiana,1,Metropolitan,5981,73,820,130,13.7,13.9,13.5,2.3,4.6,5.1,7.1,2.1,6.3,35.9,12,52.1,29.8,9.9
Orange,Indiana,3,Non core,19472,116,3566,295,18.3,18.1,18.5,3.8,5.8,8.3,10.8,3.8,8.9,27,5,68,31.6,27.8
Owen,Indiana,1,Metropolitan,21033,86,3694,386,17.6,19.9,15.2,3.7,4.8,6.8,10.5,3.1,7.3,28.2,7.4,64.3,32.7,17.9
Parke,Indiana,3,Non core,15579,239,2506,261,16.1,16.4,15.8,1.6,4.9,6.6,9.2,3.1,7.7,37,7.1,55.9,31.5,20.2
Perry,Indiana,3,Non core,17667,216,2595,267,14.7,14.6,14.8,2.3,4.9,4.7,7.3,2.5,6.1,40.9,4.4,54.7,40,21.4
Pike,Indiana,2,Micropolitan,12463,79,2294,286,18.4,19.2,17.6,3.8,5.6,6.5,9.8,3.7,7.8,33.1,9.1,57.8,31,10.9
Porter,Indiana,1,Metropolitan,165194,278,18376,907,11.1,10.7,11.6,1.8,2.9,4.2,5.9,2.1,5,37.7,6.1,56.2,22.3,15.7
Posey,Indiana,1,Metropolitan,25316,72,3127,309,12.4,12.8,12,2.4,2.9,5,7.7,2.6,5.9,35.7,3.2,61.1,24.6,18.4
Pulaski,Indiana,3,Non core,12881,85,2313,253,18,17.9,18,3.4,4.8,6.3,10.7,2.9,7.4,43.3,2.4,54.3,25.7,20.3
Putnam,Indiana,1,Metropolitan,34374,228,5281,444,15.4,15.9,14.8,2.5,5,6,8.3,2.3,6.1,36.3,6.4,57.3,33.8,15.8
Randolph,Indiana,3,Non core,25238,109,4061,310,16.1,16.8,15.4,2.7,5.6,5.7,9,3.9,6.9,30.3,8.1,61.6,30.2,20.3
Ripley,Indiana,3,Non core,28150,73,3913,312,13.9,14,13.8,2.9,5.3,5,8.3,2.6,6,28.1,6.5,65.4,32.8,16.5
Rush,Indiana,3,Non core,16804,91,2280,236,13.6,13.7,13.4,2.4,3.9,3.9,8.1,2.2,5.5,32.1,6.2,61.7,31.4,21.6
St. Joseph,Indiana,1,Metropolitan,264729,237,34823,957,13.2,13.2,13.1,2.1,4,5.4,7.1,2.5,5.6,37.2,8.6,54.2,31.5,24.4
Scott,Indiana,1,Metropolitan,23435,90,4090,408,17.5,17,17.9,3.2,4.5,6.7,10.1,2.9,8.2,16.5,6.4,77.1,21.3,28.3
Shelby,Indiana,1,Metropolitan,43728,188,5684,404,13,12.9,13.1,1.9,3.7,4.4,7.2,2.3,5.2,38.4,8.7,52.8,23.3,19.1
Spencer,Indiana,3,Non core,20638,85,2769,284,13.4,12.5,14.4,2.1,4.5,4.3,8,2.6,5.3,38.1,2.6,59.4,36.6,17
Starke,Indiana,3,Non core,23112,9,4021,315,17.4,17.1,17.7,3.7,5.2,7.3,10.5,4.2,8.1,25.5,8,66.5,32.2,18.3
Steuben,Indiana,2,Micropolitan,33987,98,4958,397,14.6,15.2,13.9,1.9,4.8,6.2,8.3,2.9,5.2,36,12.8,51.2,33.5,20.1
Sullivan,Indiana,1,Metropolitan,18933,251,3372,435,17.8,16.5,19.1,3.8,5.1,7,10.7,4.4,8.9,18.3,4.3,77.4,34.2,29.8
Switzerland,Indiana,3,Non core,10388,50,1561,233,15,15.2,14.9,3.6,5.5,4.6,8.5,2.5,5.5,31.9,2,66.1,29.4,26.4
Tippecanoe,Indiana,1,Metropolitan,179254,268,17216,799,9.6,8.8,10.5,1.3,2.5,4,5,1.5,3.7,40.1,7.1,52.8,24,21.3
Tipton,Indiana,3,Non core,15387,103,2673,289,17.4,18.2,16.5,3.7,6.6,6.5,10,3.3,7.2,36.3,5.8,57.9,36.7,18.3
Union,Indiana,1,Metropolitan,7237,52,1025,145,14.2,13.3,15,1.4,3.6,5.9,7.1,2.6,6,35.2,8.2,56.5,27.3,22.7
Vanderburgh,Indiana,1,Metropolitan,178797,358,25720,918,14.4,14.7,14.1,2.6,3.9,6,8.5,3.1,6.2,33.8,5.8,60.4,31.7,23.7
Vermillion,Indiana,1,Metropolitan,15649,131,2642,251,16.9,16.6,17.1,2.3,5.1,6.3,10.9,2.5,7.4,32.9,3.5,63.6,33.9,18.2
Vigo,Indiana,1,Metropolitan,103989,658,17614,830,16.9,17.3,16.6,2.8,4.8,7.4,9.1,3.3,7.5,29.9,6.9,63.2,32,29.5
Wabash,Indiana,2,Micropolitan,31394,267,4759,414,15.2,15.8,14.5,2.7,5.5,5,7.6,2.5,6.2,39.7,5.5,54.8,37.9,15.7
Warren,Indiana,3,Non core,8275,40,1311,180,15.8,15.3,16.3,2.4,6.4,5.5,9,2.7,6.3,40.6,9.3,50.1,33.4,12.1
Warrick,Indiana,1,Metropolitan,60254,167,6792,575,11.3,10.4,12.1,1.7,3.7,4.2,6.1,1.9,4.8,36.5,7,56.5,25.1,16.7
Washington,Indiana,1,Metropolitan,27652,105,4907,365,17.7,17.1,18.4,3.3,4.9,7,11.3,4.3,10.2,29.6,8,62.4,32.8,19.1
Wayne,Indiana,2,Micropolitan,66730,217,11700,687,17.5,16.5,18.5,3.5,5.5,6.7,10.2,3.1,7.3,26,7.1,66.9,35.2,24.5
Wells,Indiana,1,Metropolitan,27231,143,3556,352,13.1,13.3,12.8,1.9,4.5,4.3,6.5,2.8,5.7,42.5,2.7,54.8,33.3,16.4
White,Indiana,3,Non core,24139,117,3737,334,15.5,16.2,14.8,2.5,5.5,5.3,9,2.3,4.9,43.1,2.4,54.4,33.5,15.1
Whitley,Indiana,1,Metropolitan,32949,183,5031,434,15.3,15.8,14.7,2.2,5.8,6.1,8.2,2.7,5.7,38.9,4.8,56.3,33.9,15.2
Adair,Iowa,3,Non core,7287,46,1135,118,15.6,17,14.1,1.8,5.8,5.2,8.5,2.4,5.4,43.1,4.3,52.6,37.4,18.4
Adams,Iowa,3,Non core,3822,55,601,76,15.7,18.7,12.7,2.2,5.7,6.3,9.5,3.5,5.7,60.5,2.4,37.2,51.8,22.4
Allamakee,Iowa,3,Non core,13753,115,1583,173,11.5,12.1,10.9,1.5,4.7,4.2,5.8,2.1,4.6,41.6,11.7,46.7,28.8,15.5
Appanoose,Iowa,3,Non core,12538,85,1996,191,15.9,14.8,17,3.1,5.7,6.2,9.4,3,6,47.6,4.4,48,33.6,27.3
Audubon,Iowa,3,Non core,5719,72,723,81,12.6,13.6,11.7,1.3,4.1,4.2,7.6,2.9,4.8,42.1,3.4,54.5,27.3,19.8
Benton,Iowa,1,Metropolitan,25566,95,2886,278,11.3,11.9,10.6,1.9,3.7,4,5.4,1.8,4,39.9,4,56.1,22.8,22.7
Black Hawk,Iowa,1,Metropolitan,131212,262,15342,728,11.7,12.1,11.3,1.7,2.9,4.9,6.1,2.1,4.7,37.4,8.2,54.4,27.5,21.9
Boone,Iowa,2,Micropolitan,25769,139,3643,396,14.1,15.7,12.6,1.9,4.5,5.8,6.8,2.9,5.7,42,4.3,53.7,33.7,18
Bremer,Iowa,1,Metropolitan,24176,121,2307,215,9.5,9.6,9.5,0.9,3.4,2.9,4.8,1.9,3.5,53.9,5.7,40.4,21.5,14
Buchanan,Iowa,3,Non core,20745,93,2117,168,10.2,9.7,10.7,1.3,3.4,3.2,5.3,1.9,3.3,52,6.7,41.3,26.7,18.1
Buena Vista,Iowa,2,Micropolitan,20234,95,1892,211,9.4,9.5,9.2,1.3,3.6,2.7,4.8,1.3,3.5,49.7,3.6,46.7,24.8,18.2
Butler,Iowa,3,Non core,14705,106,1479,135,10.1,10.6,9.5,1.6,3.8,2.8,4.9,2,4.2,39.7,5.7,54.6,20.9,18
Calhoun,Iowa,3,Non core,9381,116,1301,123,13.9,14.6,13.1,2.3,4.7,5.2,7.8,3.5,5.8,46.7,1.4,51.9,29,23.1
Carroll,Iowa,2,Micropolitan,20266,111,2257,276,11.1,10.2,12,1.5,4.1,4.2,6.2,2.5,4.9,56.8,2.7,40.4,29,22
Cass,Iowa,3,Non core,13329,85,2040,205,15.3,12.1,18.4,2.3,5.2,6.5,7.3,2.8,5.9,50.8,4.6,44.6,23.7,16.7
Cedar,Iowa,3,Non core,18133,89,2128,245,11.7,10.9,12.5,1.9,4.5,4,4.9,1.1,3.2,55.7,3.6,40.7,20.2,14.1
Cerro Gordo,Iowa,2,Micropolitan,42822,148,5818,448,13.6,13.5,13.6,1.7,4.8,5.4,6,2.3,5.1,48.9,7,44.1,25.5,24.4
Cherokee,Iowa,3,Non core,11460,249,1572,276,13.7,14.4,13,2.5,5.5,4.8,5.7,2.6,5.5,51.2,1.3,47.5,21.5,13.1
Chickasaw,Iowa,3,Non core,12116,86,1658,212,13.7,14.2,13.2,2.2,5.6,4.1,7.2,2.7,4.8,47.8,7.6,44.6,26.2,16.5
Clarke,Iowa,3,Non core,9142,38,1123,141,12.3,12.2,12.3,2,4,4.8,5.7,1.8,4.7,63.4,3.6,33,27.5,24.5
Clay,Iowa,2,Micropolitan,16255,121,2201,295,13.5,13.2,13.9,1.3,4.8,3.7,7,1.9,4.7,46.9,3.7,49.4,30.8,25.1
Clayton,Iowa,3,Non core,17569,61,2138,147,12.2,12,12.3,2.1,4.2,4.7,6.8,2.6,6,39.2,2.7,58.1,24.7,22.4
Clinton,Iowa,2,Micropolitan,47870,139,6157,444,12.9,13.8,12,1.9,4.2,5.3,7.2,3.1,6.1,32.1,4.9,62.9,27.4,24.3
Crawford,Iowa,3,Non core,17051,90,2293,249,13.4,15.7,11.2,2.1,4.6,4.2,6.9,1.9,4.5,39.7,6.5,53.8,42.2,27.3
Dallas,Iowa,1,Metropolitan,74382,124,5656,506,7.6,8.4,6.8,0.9,2.5,3,3.3,1.4,3,48.6,5.8,45.6,21.6,18.3
Davis,Iowa,2,Micropolitan,8627,52,1081,156,12.5,13.3,11.8,2.2,4.9,4,6.9,2.9,5.1,26.3,5.2,68.5,37.6,18.7
Decatur,Iowa,3,Non core,8140,17,1466,146,18,18.4,17.6,3.7,7.2,7.1,7.9,2.7,6.7,34.9,4.8,60.3,41,28
Delaware,Iowa,3,Non core,17342,103,2023,348,11.7,13.4,9.9,1.4,3.3,5.4,5.2,1.4,5.5,53,7,40,25.9,18.6
Des Moines,Iowa,2,Micropolitan,39707,102,5605,507,14.1,13.8,14.4,2.4,3.9,5.6,7.6,2.3,5.5,38.9,4.8,56.3,27.8,23.1
Dickinson,Iowa,2,Micropolitan,16758,78,2449,309,14.6,14.2,15.1,2.6,5.2,4.4,7.8,2.3,5.5,56.7,1.1,42.2,27,15.5
Dubuque,Iowa,1,Metropolitan,94656,211,10359,581,10.9,10.2,11.7,1.8,3.5,4.3,5.5,2,4.9,47.9,5.3,46.9,24.4,21.4
Emmet,Iowa,3,Non core,9645,132,1230,140,12.8,13.1,12.4,1.3,4.4,4.4,6.3,2.4,4.5,41.2,9.2,49.5,23.5,20.1
Fayette,Iowa,3,Non core,20234,64,2868,216,14.2,14,14.3,2.3,4.2,4.5,7.7,2.5,6.3,38.5,5.2,56.4,30.1,15.5
Floyd,Iowa,3,Non core,15841,92,2180,273,13.8,13.3,14.2,1.7,4.8,5,6.2,2,6.1,54.4,3.6,42,28.2,13.9
Franklin,Iowa,3,Non core,10336,50,1331,178,12.9,13.3,12.5,2.1,3.5,4.6,5.6,2,4.9,43.6,6.5,49.8,32.6,15
Fremont,Iowa,3,Non core,6983,69,1042,105,14.9,16.4,13.4,3,4.8,4.8,7.1,1.9,5.6,33.8,3.5,62.7,28.5,24.8
Greene,Iowa,3,Non core,9059,79,1469,223,16.2,17.4,15.1,2.9,6,6.5,8.3,3.2,5.9,32.3,9.7,58,35.8,18
Grundy,Iowa,1,Metropolitan,12255,56,1289,126,10.5,10.7,10.3,1.1,3.9,3,5.6,1.5,3.9,50.7,5.6,43.6,27.2,14
Guthrie,Iowa,1,Metropolitan,10602,103,1382,143,13,14.3,11.8,2.1,4.5,4.1,6.1,1.9,4.8,42.1,2.9,54.9,29,20
Hamilton,Iowa,3,Non core,15093,79,2009,268,13.3,14.3,12.4,2.4,4.3,4.8,6.5,2.7,5.5,39.2,3.9,56.8,37,17.6
Hancock,Iowa,3,Non core,10940,76,1230,145,11.2,13.5,9,1.1,4.3,4.3,5.8,1.8,4.1,41.4,1.8,56.8,29.8,14.4
Hardin,Iowa,3,Non core,16849,148,2095,210,12.4,12.1,12.7,1.7,4.2,4.6,5.9,2,4.8,33.2,13.5,53.3,27,17.2
Harrison,Iowa,1,Metropolitan,14218,122,2101,164,14.8,15.5,14,2.5,5.7,5,7.6,2.6,5.9,38.1,5.9,56,30.2,18.7
Henry,Iowa,3,Non core,18884,180,2389,221,12.7,12.8,12.5,2.5,4.4,4.3,7.3,3.5,6.8,36.6,7.6,55.9,25.4,16.2
Howard,Iowa,3,Non core,9320,98,1138,151,12.2,14.7,9.7,1.8,4.6,4.4,6.6,2.1,5,50.9,0.6,48.5,29.4,22.3
Humboldt,Iowa,3,Non core,9557,61,1138,131,11.9,11.8,12,1.4,4.3,4.3,6.5,2.1,3.7,34.1,6.9,59,24.6,23.3
Ida,Iowa,3,Non core,6942,51,896,96,12.9,14,11.8,1.6,5.4,4,7,3,4.2,56.5,3.7,39.8,33.5,15
Iowa,Iowa,3,Non core,16095,123,1770,219,11,11.3,10.7,2,3.6,3.8,5.9,1.7,4.6,47.3,1.8,50.9,24.9,19
Jackson,Iowa,3,Non core,19381,86,2446,215,12.6,13.1,12.1,1.3,4.2,5,6.6,2.2,5.2,46.6,2.6,50.8,21.4,28.5
Jasper,Iowa,2,Micropolitan,35023,204,5189,494,14.8,14.1,15.5,2.3,5,5.8,7.7,3.1,5.8,38.4,5.6,56,29.6,22.4
Jefferson,Iowa,2,Micropolitan,17173,82,1763,212,10.3,10,10.6,0.7,3.4,3.3,5.6,1.7,3.4,38.6,7.1,54.3,32.3,16.3
Johnson,Iowa,1,Metropolitan,137748,252,10109,694,7.3,7.3,7.4,1,2.1,3.1,3.1,1.1,2.9,50.9,4.9,44.2,22.7,18.8
Jones,Iowa,1,Metropolitan,19236,203,2419,262,12.6,12.3,12.8,1.4,4.7,5,5.7,2.6,5,44,7.5,48.5,23.7,22.2
Keokuk,Iowa,3,Non core,10168,35,1578,130,15.5,15.8,15.3,2.5,5,5.4,8.1,2.6,5.9,39.1,2,58.8,29.2,21.2
Kossuth,Iowa,3,Non core,15022,98,1943,178,12.9,13.5,12.3,2.5,4.5,4.6,6.6,2.5,4.7,55,3.2,41.8,40.1,15.3
Lee,Iowa,2,Micropolitan,34700,107,5714,360,16.5,15.7,17.2,2.8,5,6.3,8.4,2.8,6.4,39.2,9.6,51.3,24.5,27.2
Linn,Iowa,1,Metropolitan,214649,239,21868,1119,10.2,10.1,10.3,1.6,3.2,4.5,5.1,1.7,4.1,43.3,6.6,50,20.3,20.5
Louisa,Iowa,3,Non core,11141,66,1277,154,11.5,11.1,11.8,1.6,3.6,4.2,5.8,2,5.3,40.4,3.7,55.9,30.4,18.8
Lucas,Iowa,3,Non core,8598,63,1297,151,15.1,16.9,13.2,2.3,5.9,6.4,8.3,3.7,5.9,40,7.4,52.5,31.9,16.1
Lyon,Iowa,3,Non core,11553,47,1233,133,10.7,10,11.4,1.5,4.2,3.8,4.7,1.5,3.6,60.8,3.9,35.3,30.8,12.3
Madison,Iowa,1,Metropolitan,15457,96,1858,254,12,11,13.1,1.2,3.9,4.1,7.1,1.8,3.9,43.2,7.2,49.7,34.1,18.2
Mahaska,Iowa,2,Micropolitan,22162,110,2903,264,13.1,12,14.2,2.3,4.1,4.6,6.8,2.5,5.2,44.6,8.1,47.2,26.5,26.4
Marion,Iowa,2,Micropolitan,32999,93,4084,349,12.4,12.6,12.2,1.5,4.5,4.7,6.3,2.2,4.4,41.8,4.3,54,31.1,19.6
Marshall,Iowa,2,Micropolitan,39971,302,5166,386,12.9,12.8,13.1,2.4,4.5,5,6.9,2.1,4.9,41.1,7.5,51.4,32.9,13.5
Mills,Iowa,1,Metropolitan,14622,58,2487,263,17,18,16,2.6,6.2,8.7,8.9,4.3,7.7,42.5,3.8,53.8,28.6,18.4
Mitchell,Iowa,3,Non core,10545,98,1091,154,10.3,9.9,10.8,1.6,4.1,2.8,5.5,1.6,4.6,54.4,0.8,44.7,27.3,10.4
Monona,Iowa,3,Non core,8876,125,1366,151,15.4,16.3,14.5,2.3,5.6,5.1,7.4,2.2,5.5,33.6,6,60.4,31.2,14.4
Monroe,Iowa,3,Non core,7866,77,1000,173,12.7,10.8,14.8,1.7,4.7,3.7,8.4,3.1,5.6,29.5,5.8,64.7,33.1,19.7
Montgomery,Iowa,3,Non core,10272,94,1837,234,17.9,17.4,18.4,2.8,4.2,7.8,9.4,2.5,5.6,33.6,8,58.4,35.3,27.7
Muscatine,Iowa,2,Micropolitan,42430,189,4694,357,11.1,10.8,11.3,1.5,3.1,3.9,6,1.9,4.4,48.5,5.5,46,25.5,14.5
O'Brien,Iowa,3,Non core,13886,105,1747,206,12.6,12.2,12.9,1.9,5.1,4.3,5.8,2.2,6,64.3,0.7,35,28.5,11.6
Osceola,Iowa,3,Non core,6107,50,851,109,13.9,15.3,12.5,2.8,5.6,3.4,6.8,2.8,4.5,55.8,6.3,38,38.1,11
Page,Iowa,3,Non core,14734,259,2491,240,16.9,17.5,16.3,2.6,6.2,6.1,8.3,3.3,6.7,36.1,4.8,59,28.8,30.6
Palo Alto,Iowa,3,Non core,9005,88,1379,183,15.3,16.6,14,3.4,6.2,5.2,7.6,2.5,6,58.4,5.1,36.5,37.1,17.1
Plymouth,Iowa,1,Metropolitan,24561,122,2531,278,10.3,11.1,9.6,1.4,3.6,3.6,5,2.6,4.1,48.6,5.1,46.3,22.1,10.9
Pocahontas,Iowa,3,Non core,6967,62,870,106,12.5,13.5,11.5,2,5,3.9,5.1,1.9,3.4,50.3,7.5,42.2,29.5,22.1
Polk,Iowa,1,Metropolitan,447444,442,46791,1325,10.5,10.4,10.5,1.7,3,4.4,5.3,2.1,4.3,47.2,6.7,46.1,26,20.6
Pottawattamie,Iowa,1,Metropolitan,92061,246,13445,659,14.6,15,14.2,2.2,4.8,5.2,8,2.6,6.3,42,5.3,52.7,29.6,20.4
Poweshiek,Iowa,3,Non core,18388,134,2249,260,12.2,12.6,11.9,1.2,4.2,4.4,5.5,1.5,3,51.7,5.8,42.5,30,17.1
Ringgold,Iowa,3,Non core,4874,121,744,97,15.3,17.4,13.2,3.3,6,5.1,8.5,3.2,5,45.9,7.6,46.5,38.4,15.2
Sac,Iowa,3,Non core,9907,96,1238,129,12.5,13.2,11.8,1.5,4.6,3.5,5.8,2.3,4.5,44.5,6.4,49.1,33.4,15.3
Scott,Iowa,1,Metropolitan,168281,302,17342,860,10.3,9.8,10.8,1.5,3.2,4,5.7,2.3,4.8,36.3,5.9,57.8,22.6,18.9
Shelby,Iowa,3,Non core,11770,91,1798,190,15.3,14.7,15.8,2,5.2,4.9,8,2.2,5.9,44.6,4.9,50.5,35.9,22.4
Sioux,Iowa,3,Non core,34084,113,2502,278,7.3,7.7,6.9,1.3,2.4,2.6,3.1,0.9,2.5,63.7,3.5,32.7,23.3,18.6
Story,Iowa,1,Metropolitan,92861,173,6510,490,7,6.2,7.9,1,2,2.9,3.3,1.1,2.1,54.7,6.3,39,21.2,20.3
Tama,Iowa,3,Non core,17098,153,2146,156,12.6,14.4,10.8,1.7,4.4,4.2,6.8,3,5.5,42.3,5.4,52.3,34.3,16
Taylor,Iowa,3,Non core,6111,47,877,97,14.4,13.9,14.8,1.9,4.8,4.8,7,2,6,55.7,5,39.3,30.4,15.3
Union,Iowa,3,Non core,12435,52,1894,179,15.2,14.7,15.7,2.2,5.3,5.4,7.8,3,6.5,47.1,10.3,42.6,29.7,18.2
Van Buren,Iowa,3,Non core,7365,73,1021,118,13.9,14.8,12.9,1.8,4.8,4.2,7.2,2.1,4.8,41,6.2,52.9,29.7,19.4
Wapello,Iowa,2,Micropolitan,34926,141,5063,393,14.5,14.5,14.5,2.4,4.5,5.6,8.3,3.1,6.8,31.5,10.6,57.9,31.9,25.6
Warren,Iowa,1,Metropolitan,46957,150,5311,428,11.3,12.1,10.6,1.5,4,3.5,5.6,2.1,3.4,57.8,5.3,36.9,29.4,10.9
Washington,Iowa,1,Metropolitan,21694,123,3020,308,13.9,14.2,13.6,2.2,4.3,4.9,7.1,2.8,5.6,47.2,6.8,46,26.7,15.9
Wayne,Iowa,3,Non core,6282,75,1031,94,16.4,18.4,14.6,2.9,7.7,6.2,9.3,3.6,6.8,47.6,7.7,44.7,41.8,22.1
Webster,Iowa,2,Micropolitan,35536,240,5220,395,14.7,16.1,13.3,1.8,4.3,5.9,7.4,2.3,5,34.5,6.1,59.5,30.3,21.4
Winnebago,Iowa,3,Non core,10395,93,1436,173,13.8,14.7,12.9,2.6,5.9,4.1,6.5,1.9,5.4,46.4,4.3,49.3,32,13.5
Winneshiek,Iowa,3,Non core,20604,116,1687,212,8.2,9.7,6.7,1,2.2,3.1,4,1.7,2.7,47.4,5.8,46.8,19.1,17.2
Woodbury,Iowa,1,Metropolitan,101578,168,12602,656,12.4,11.8,13,2,3.5,4.6,7.2,2.3,5.6,40.1,7.7,52.3,29.3,24.7
Worth,Iowa,2,Micropolitan,7462,63,1013,127,13.6,15.9,11.3,1.7,5.4,3.7,6.1,1.7,4.6,54.9,5.9,39.2,25.6,16.1
Wright,Iowa,3,Non core,12757,115,1655,170,13,13.8,12.1,1.7,4.6,4.8,7.2,2.2,4.8,44.3,3.2,52.5,34.5,18.7
Allen,Kansas,3,Non core,12876,78,2470,284,19.2,19.8,18.6,3.5,5.8,8.4,10.4,3.9,9.2,32.9,2.7,64.4,36.3,29.3
Anderson,Kansas,3,Non core,7794,47,1089,168,14,13.7,14.2,1.7,5.3,5.2,7.3,3.2,6.5,37.8,6,56.2,37.8,23.4
